i;prices_koCall;prices_kiCall;prices_koPut;prices_kiPut;richardson_koCall;richardson_kiCall;richardson_koPut;richardson_kiPut;cv_koCall;cv_kiCall;cv_koPut;cv_kiPut;
0;0;-1.#IND;0;-1.#IND;9.38454;-1.#IND;10.3802;-1.#IND;-1.#IND;-1.#IND;-1.#IND;-1.#IND;
176;2.24316;1.4853;3.15489;1.07109;2.471;1.2541;2.80783;1.41477;2.23879;1.48093;3.15051;1.06671;
177;2.38102;1.34358;3.00457;1.21753;2.31692;1.41202;2.94158;1.28487;2.38051;1.34308;3.00407;1.21703;
178;2.22654;1.50182;3.13894;1.08693;2.45467;1.2705;2.79129;1.43139;2.22228;1.49755;3.13467;1.08266;
179;2.36469;1.36001;2.98851;1.2337;2.30048;1.42832;2.9253;1.30101;2.36408;1.3594;2.9879;1.23308;
180;2.50223;1.22603;3.12312;1.10265;2.14699;1.57825;2.77492;1.44782;2.49806;1.22187;3.11895;1.09848;
181;2.34853;1.37627;2.9726;1.24971;2.28423;1.44443;3.30208;0.924091;2.34782;1.37556;2.97188;1.249;
182;2.48609;1.24207;3.10742;1.11825;2.1309;1.59441;3.15212;1.07069;2.48203;1.238;3.10335;1.11418;
183;2.33255;1.39235;2.95682;1.26558;2.26816;1.46037;3.28705;0.938985;2.33174;1.39155;2.95601;1.26477;
184;2.4701;1.25795;3.09185;1.13372;2.115;1.61036;3.137;1.08587;2.46614;1.25399;3.08788;1.12975;
185;2.31673;1.40826;2.94119;1.28131;2.25227;1.47613;3.27212;0.953789;2.31583;1.40736;2.94029;1.2804;
186;2.45427;1.27368;3.0764;1.14906;2.0993;1.62612;3.122;1.10093;2.45041;1.26982;3.07253;1.1452;
187;2.30108;1.424;2.9257;1.29689;2.63839;1.08988;3.25728;0.968501;2.30009;1.42301;2.92471;1.29589;
188;2.43859;1.28927;3.06108;1.16429;2.48571;1.23977;3.10711;1.11588;2.43482;1.2855;3.05731;1.16052;
189;2.2856;1.43957;2.91036;1.31232;2.62302;1.10512;3.24253;0.983121;2.28452;1.4385;2.90928;1.31124;
190;2.42306;1.3047;3.04588;1.17939;2.47053;1.255;3.09233;1.13071;2.41939;1.30103;3.04221;1.17572;
191;2.27028;1.45497;3.16723;1.05553;2.60778;1.12024;2.95634;1.26919;2.26912;1.45381;3.16607;1.05437;
192;2.40768;1.31998;3.03081;1.19436;2.45549;1.27009;3.07766;1.14543;2.40411;1.31641;3.02723;1.19079;
193;2.25512;1.47021;3.15276;1.07007;2.59266;1.13524;2.94118;1.28422;2.25389;1.46897;3.15153;1.06883;
